# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  100       2.939531069833e+03       8.259382415986e-01       3.016980552535e-03      -2.518485106842e+01       1.031518971391e-07       4.072323454754e-04      -2.080697420968e-06 
  101       2.973915612071e+03       8.417158699527e-01       3.078149905219e-03      -2.589919621647e+01       1.024910206122e-07       4.027410180499e-04      -2.075393137724e-06 
  102       3.008509627802e+03       8.573302030353e-01       3.139988840266e-03      -2.661387405083e+01       1.018356443795e-07       3.983497709238e-04      -2.070237912610e-06 
  103       3.043303747083e+03       8.727651576138e-01       3.202502745937e-03      -2.732832316885e+01       1.011804315857e-07       3.940419137680e-04      -2.065888625383e-06 
  104       3.078288916077e+03       8.880048404183e-01       3.265697075403e-03      -2.804197755648e+01       1.005201541203e-07       3.898015601651e-04      -2.062928661588e-06 
  105       3.113462570119e+03       9.030347696669e-01       3.329576779469e-03      -2.875427931023e+01       9.985666654012e-08       3.856323408395e-04      -2.061415393413e-06 
  106       3.148823193673e+03       9.178408257522e-01       3.394146805887e-03      -2.946466792173e+01       9.919344043843e-08       3.815418821905e-04      -2.061246774091e-06 
  107       3.184368385594e+03       9.324088873599e-01       3.459412276727e-03      -3.017257663675e+01       9.853348947423e-08       3.775361091599e-04      -2.062292722856e-06 
  108       3.220094824652e+03       9.467248391632e-01       3.525378491227e-03      -3.087743264913e+01       9.787929640514e-08       3.736191029914e-04      -2.064393467277e-06 
  109       3.255998235040e+03       9.607745795184e-01       3.592050928640e-03      -3.157865729479e+01       9.723273640089e-08       3.697929556186e-04      -2.067357850982e-06 
  110       3.292073351897e+03       9.745440281588e-01       3.659435251084e-03      -3.227566624573e+01       9.659499656632e-08       3.660576206811e-04      -2.070961606796e-06 
  111       3.328313886817e+03       9.880191338900e-01       3.727537306389e-03      -3.296786970397e+01       9.596649160196e-08       3.624107611704e-04      -2.074945595258e-06 
  112       3.364712493372e+03       1.001185882284e+00       3.796363130946e-03      -3.365467259559e+01       9.534677553078e-08       3.588475937035e-04      -2.079014008563e-06 
  113       3.401260732620e+03       1.014030303376e+00       3.865918952554e-03      -3.433547476469e+01       9.473444941951e-08       3.553607294256e-04      -2.082832539880e-06 
  114       3.437949038630e+03       1.026538479355e+00       3.936211193271e-03      -3.500967116736e+01       9.412706502283e-08       3.519400115413e-04      -2.086026518087e-06 
  115       3.474766683990e+03       1.038696552264e+00       4.007246472262e-03      -3.567665206572e+01       9.352102427896e-08       3.485723494744e-04      -2.088179007895e-06 
