# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 2461       9.285132308220e+01       2.563569082596e+00       0.000000000000e+00      -1.681497519654e+00       7.237237934934e-10       1.166955369058e-07      -1.290653260109e-08 
 2462       9.247368523312e+01       2.573823081100e+00       0.000000000000e+00      -1.645216695712e+00       7.229198749228e-10       1.178597784092e-07      -1.324775378291e-08 
 2463       9.209569465892e+01       2.584329991909e+00       0.000000000000e+00      -1.610315414905e+00       7.221169462837e-10       1.190279978444e-07      -1.358450436222e-08 
 2464       9.171743584546e+01       2.595081282176e+00       0.000000000000e+00      -1.576791751053e+00       7.213150068206e-10       1.201997075350e-07      -1.391651027785e-08 
 2465       9.133899355228e+01       2.606068389907e+00       0.000000000000e+00      -1.544643763301e+00       7.205140557106e-10       1.213744173990e-07      -1.424349619206e-08 
 2466       9.096045281286e+01       2.617282723931e+00       0.000000000000e+00      -1.513869496100e+00       7.197140920640e-10       1.225516349446e-07      -1.456518548801e-08 
 2467       9.058189893491e+01       2.628715663869e+00       0.000000000000e+00      -1.484466979189e+00       7.189151149234e-10       1.237308652649e-07      -1.488130026716e-08 
 2468       9.020341750063e+01       2.640358560107e+00       0.000000000000e+00      -1.456434227580e+00       7.181171232635e-10       1.249116110331e-07      -1.519156134678e-08 
 2469       8.982509436698e+01       2.652202733763e+00       0.000000000000e+00      -1.429769241536e+00       7.173201159912e-10       1.260933724979e-07      -1.549568825737e-08 
 2470       8.944701566600e+01       2.664239476659e+00       0.000000000000e+00      -1.404470006556e+00       7.165240919447e-10       1.272756474779e-07      -1.579339924007e-08 
 2471       8.906926780505e+01       2.676460051289e+00       0.000000000000e+00      -1.380534493357e+00       7.157290498937e-10       1.284579313574e-07      -1.608441124417e-08 
 2472       8.869193746708e+01       2.688855690789e+00       0.000000000000e+00      -1.357960657856e+00       7.149349885389e-10       1.296397170811e-07      -1.636843992448e-08 
 2473       8.831511161094e+01       2.701417598911e+00       0.000000000000e+00      -1.336746441150e+00       7.141419065117e-10       1.308204951493e-07      -1.664519963881e-08 
 2474       8.793887747163e+01       2.714136949987e+00       0.000000000000e+00      -1.316889769504e+00       7.133498023739e-10       1.319997536129e-07      -1.691440344539e-08 
 2475       8.756332256060e+01       2.727004888902e+00       0.000000000000e+00      -1.298388554325e+00       7.125586746174e-10       1.331769780684e-07      -1.717576310032e-08 
 2476       8.718853466599e+01       2.740012531065e+00       0.000000000000e+00      -1.281240692152e+00       7.117685216641e-10       1.343516516532e-07      -1.742898905495e-08 
 2477       8.681460185295e+01       2.753150962378e+00       0.000000000000e+00      -1.265444064634e+00       7.109793418652e-10       1.355232550406e-07      -1.767379045339e-08 
 2478       8.644161246390e+01       2.766411239204e+00       0.000000000000e+00      -1.250996538512e+00       7.101911335013e-10       1.366912664346e-07      -1.790987512986e-08 
 2479       8.606965511877e+01       2.779784388339e+00       0.000000000000e+00      -1.237895965605e+00       7.094038947818e-10       1.378551615653e-07      -1.813694960615e-08 
 2480       8.569881871535e+01       2.793261406984e+00       0.000000000000e+00      -1.226140182786e+00       7.086176238448e-10       1.390144136838e-07      -1.835471908905e-08 
 2481       8.532919242951e+01       2.806833262709e+00       0.000000000000e+00      -1.215727011972e+00       7.078323187568e-10       1.401684935572e-07      -1.856288746777e-08 
 2482       8.496086571548e+01       2.820490893429e+00       0.000000000000e+00      -1.206654260098e+00       7.070479775121e-10       1.413168694635e-07      -1.876115731131e-08 
 2483       8.459392830618e+01       2.834225207371e+00       0.000000000000e+00      -1.198919719106e+00       7.062645980329e-10       1.424590071873e-07      -1.894922986595e-08 
 2484       8.422847021342e+01       2.848027083044e+00       0.000000000000e+00      -1.192521165925e+00       7.054821781688e-10       1.435943700138e-07      -1.912680505263e-08 
 2485       8.386458172823e+01       2.861887369210e+00       0.000000000000e+00      -1.187456362449e+00       7.047007156965e-10       1.447224187248e-07      -1.929358146433e-08 
 2486       8.350235342112e+01       2.875796884852e+00       0.000000000000e+00      -1.183723055527e+00       7.039202083195e-10       1.458426115932e-07      -1.944925636354e-08 
 2487       8.314187614236e+01       2.889746419147e+00       0.000000000000e+00      -1.181318976940e+00       7.031406536677e-10       1.469544043781e-07      -1.959352567964e-08 
 2488       8.278324102225e+01       2.903726731434e+00       0.000000000000e+00      -1.180241843383e+00       7.023620492974e-10       1.480572503198e-07      -1.972608400629e-08 
 2489       8.242653947141e+01       2.917728551183e+00       0.000000000000e+00      -1.180489356450e+00       7.015843926906e-10       1.491506001350e-07      -1.984662459887e-08 
 2490       8.207186318104e+01       2.931742577968e+00       0.000000000000e+00      -1.182059202616e+00       7.008076812550e-10       1.502339020116e-07      -1.995483937186e-08 
 2491       8.171930412321e+01       2.945759481433e+00       0.000000000000e+00      -1.184949053215e+00       7.000319123236e-10       1.513066016038e-07      -2.005041889622e-08 
 2492       8.136895455114e+01       2.959769901267e+00       0.000000000000e+00      -1.189156564428e+00       6.992570831542e-10       1.523681420273e-07      -2.013305239684e-08 
 2493       8.102090699946e+01       2.973764447169e+00       0.000000000000e+00      -1.194679377261e+00       6.984831909294e-10       1.534179638537e-07      -2.020242774989e-08 
 2494       8.067524553134e+01       2.987734225006e+00       0.000000000000e+00      -1.201512441566e+00       6.977102332102e-10       1.544556124967e-07      -2.025838388050e-08 
 2495       8.033201942309e+01       3.001672418722e+00       0.000000000000e+00      -1.209639970956e+00       6.969382093027e-10       1.554810614120e-07      -2.030136942769e-08 
 2496       7.999126932564e+01       3.015572717655e+00       0.000000000000e+00      -1.219043440620e+00       6.961671189070e-10       1.564943917325e-07      -2.033198811205e-08 
 2497       7.965303600371e+01       3.029428791176e+00       0.000000000000e+00      -1.229704258930e+00       6.953969616641e-10       1.574956851370e-07      -2.035084670795e-08 
 2498       7.931736033598e+01       3.043234288672e+00       0.000000000000e+00      -1.241603767365e+00       6.946277371557e-10       1.584850238510e-07      -2.035855504974e-08 
 2499       7.898428331515e+01       3.056982839520e+00       0.000000000000e+00      -1.254723240452e+00       6.938594449038e-10       1.594624906488e-07      -2.035572603800e-08 
 2500       7.865384604810e+01       3.070668053073e+00       0.000000000000e+00      -1.269043885687e+00       6.930920843710e-10       1.604281688537e-07      -2.034297564577e-08 
 2501       7.832608975593e+01       3.084283518637e+00       0.000000000000e+00      -1.284546843470e+00       6.923256549593e-10       1.613821423399e-07      -2.032092292475e-08 
 2502       7.800105577413e+01       3.097822805451e+00       0.000000000000e+00      -1.301213187038e+00       6.915601560109e-10       1.623244955336e-07      -2.029019001157e-08 
 2503       7.767878555266e+01       3.111279462669e+00       0.000000000000e+00      -1.319023922389e+00       6.907955868070e-10       1.632553134138e-07      -2.025140213402e-08 
 2504       7.735932065606e+01       3.124647019339e+00       0.000000000000e+00      -1.337959988220e+00       6.900319465682e-10       1.641746815139e-07      -2.020518761729e-08 
 2505       7.704270276356e+01       3.137918984382e+00       0.000000000000e+00      -1.358002255851e+00       6.892692344539e-10       1.650826859230e-07      -2.015217789022e-08 
 2506       7.672897366917e+01       3.151088846573e+00       0.000000000000e+00      -1.379131529161e+00       6.885074495621e-10       1.659794132866e-07      -2.009300749159e-08 
 2507       7.641817528185e+01       3.164150074524e+00       0.000000000000e+00      -1.401328544515e+00       6.877465909293e-10       1.668649508084e-07      -2.002831407632e-08 
 2508       7.611034962553e+01       3.177096116658e+00       0.000000000000e+00      -1.424573970697e+00       6.869866575299e-10       1.677393862510e-07      -1.995873842181e-08 
 2509       7.580553883928e+01       3.189920401195e+00       0.000000000000e+00      -1.448848408839e+00       6.862276482762e-10       1.686028079375e-07      -1.988492443416e-08 
 2510       7.550378517741e+01       3.202616336129e+00       0.000000000000e+00      -1.474132392351e+00       6.854695620182e-10       1.694553047526e-07      -1.980751915446e-08 
 2511       7.520513100954e+01       3.215177309207e+00       0.000000000000e+00      -1.500406386855e+00       6.847123975432e-10       1.702969661435e-07      -1.972717276507e-08 
 2512       7.490961882076e+01       3.227596687913e+00       0.000000000000e+00      -1.527650790113e+00       6.839561535753e-10       1.711278821219e-07      -1.964453859594e-08 
 2513       7.461729121171e+01       3.239867819446e+00       0.000000000000e+00      -1.555845931956e+00       6.832008287755e-10       1.719481432641e-07      -1.956027313086e-08 
 2514       7.432819089869e+01       3.251984030699e+00       0.000000000000e+00      -1.584972074219e+00       6.824464217416e-10       1.727578407133e-07      -1.947503601375e-08 
 2515       7.404236071376e+01       3.263938628240e+00       0.000000000000e+00      -1.615009410669e+00       6.816929310071e-10       1.735570661802e-07      -1.938949005501e-08 
 2516       7.375984360488e+01       3.275724898293e+00       0.000000000000e+00      -1.645938066934e+00       6.809403550419e-10       1.743459119443e-07      -1.930430123781e-08 
 2517       7.348068263598e+01       3.287336106718e+00       0.000000000000e+00      -1.677738100439e+00       6.801886922514e-10       1.751244708552e-07      -1.922013872437e-08 
 2518       7.320492098708e+01       3.298765498988e+00       0.000000000000e+00      -1.710389500330e+00       6.794379409766e-10       1.758928363339e-07      -1.913767486231e-08 
 2519       7.293260195442e+01       3.310006300175e+00       0.000000000000e+00      -1.743872187408e+00       6.786880994935e-10       1.766511023738e-07      -1.905758519096e-08 
 2520       7.266376895053e+01       3.321051714924e+00       0.000000000000e+00      -1.778166014063e+00       6.779391660130e-10       1.773993635423e-07      -1.898054844771e-08 
 2521       7.239846550439e+01       3.331894927438e+00       0.000000000000e+00      -1.813250764195e+00       6.771911386808e-10       1.781377149815e-07      -1.890724657429e-08 
 2522       7.213673526146e+01       3.342529101453e+00       0.000000000000e+00      -1.849106153157e+00       6.764440155768e-10       1.788662524098e-07      -1.883836472318e-08 
 2523       7.187862198388e+01       3.352947380224e+00       0.000000000000e+00      -1.885711827676e+00       6.756977947150e-10       1.795850721232e-07      -1.877459126387e-08 
 2524       7.162416955051e+01       3.363142886501e+00       0.000000000000e+00      -1.923047365785e+00       6.749524740433e-10       1.802942709961e-07      -1.871661778929e-08 
 2525       7.137342195706e+01       3.373108722509e+00       0.000000000000e+00      -1.961092276761e+00       6.742080514431e-10       1.809939464830e-07      -1.866513912210e-08 
 2526       7.112642331621e+01       3.382837969932e+00       0.000000000000e+00      -1.999826001044e+00       6.734645247291e-10       1.816841966194e-07      -1.862085332107e-08 
