# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 1430.41 h/Mpc,
# number of wavenumbers equal to 1499
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_idm_dr/k2           5:-T_b/k2                6:-T_g/k2                7:-T_ur/k2               8:-T_idr/k2              9:-T_ncdm/k2            10:-T_tot/k2          
       3.190693644506e-05       2.425047495221e+05       0.000000000000e+00       0.000000000000e+00       2.425046654041e+05       3.233258451569e+05       3.233242175074e+05       0.000000000000e+00       0.000000000000e+00       2.448470586042e+05 
       3.227640135620e-05       2.425047346185e+05       0.000000000000e+00       0.000000000000e+00       2.425046485412e+05       3.233255033627e+05       3.233238378024e+05       0.000000000000e+00       0.000000000000e+00       2.448470334623e+05 
       3.265014446938e-05       2.425047178393e+05       0.000000000000e+00       0.000000000000e+00       2.425046297570e+05       3.233251515677e+05       3.233234472154e+05       0.000000000000e+00       0.000000000000e+00       2.448470061915e+05 
       3.302821532384e-05       2.425047037753e+05       0.000000000000e+00       0.000000000000e+00       2.425046136414e+05       3.233247957240e+05       3.233230516714e+05       0.000000000000e+00       0.000000000000e+00       2.448469814216e+05 
       3.341066403247e-05       2.425046878019e+05       0.000000000000e+00       0.000000000000e+00       2.425045955685e+05       3.233244294809e+05       3.233226448062e+05       0.000000000000e+00       0.000000000000e+00       2.448469544777e+05 
       3.379754128842e-05       2.425046714810e+05       0.000000000000e+00       0.000000000000e+00       2.425045770993e+05       3.233240547373e+05       3.233222284984e+05       0.000000000000e+00       0.000000000000e+00       2.448469269309e+05 
       3.418889837187e-05       2.425046547554e+05       0.000000000000e+00       0.000000000000e+00       2.425045581753e+05       3.233236712351e+05       3.233218024591e+05       0.000000000000e+00       0.000000000000e+00       2.448468987178e+05 
       3.458478715676e-05       2.425046376425e+05       0.000000000000e+00       0.000000000000e+00       2.425045388128e+05       3.233232788034e+05       3.233213665006e+05       0.000000000000e+00       0.000000000000e+00       2.448468698498e+05 
       3.498526011773e-05       2.425046220913e+05       0.000000000000e+00       0.000000000000e+00       2.425045209595e+05       3.233228798438e+05       3.233209230014e+05       0.000000000000e+00       0.000000000000e+00       2.448468422886e+05 
       3.539037033704e-05       2.425046041715e+05       0.000000000000e+00       0.000000000000e+00       2.425045006840e+05       3.233224689176e+05       3.233204664974e+05       0.000000000000e+00       0.000000000000e+00       2.448468120597e+05 
       3.580017151160e-05       2.425045858347e+05       0.000000000000e+00       0.000000000000e+00       2.425044799367e+05       3.233220484208e+05       3.233199993611e+05       0.000000000000e+00       0.000000000000e+00       2.448467811271e+05 
       3.621471796011e-05       2.425045670706e+05       0.000000000000e+00       0.000000000000e+00       2.425044587060e+05       3.233216181296e+05       3.233195213444e+05       0.000000000000e+00       0.000000000000e+00       2.448467494739e+05 
       3.663406463026e-05       2.425045478689e+05       0.000000000000e+00       0.000000000000e+00       2.425044369800e+05       3.233211778153e+05       3.233190321931e+05       0.000000000000e+00       0.000000000000e+00       2.448467170828e+05 
